1;02-295;1;1;3C ;;Bn (C) 
192;02-295;192;192;D3C;;Bn (C) 
193;02-295;193;193;3C ;;Bn (C) 
194;02-295;194;194;3C ;;Bn (C) 
195;02-295;195;195;3C ;;Bn (C) 
196;02-295;196;196;3C ;;Bn (C) 
197;02-295;197;197;3C ;;Bn (C) 
198;02-295;198;198;2C ;;Bn (C) 
199;02-295;199;199;2C ;;Bn (C) 
200;02-295;200;200;D3C;;Bn (C) 
201;02-295;201;201;3C ;;Bn (C) 
202;02-295;202;202;3C ;;Bn (C) 
203;02-295;203;203;3C ;;Bn (C) 
204;02-295;204;204;3C ;;Bn (C) 
205;02-295;205;205;3C ;;Bn (C) 
206;02-295;206;206;2C ;;Bn (C) 
207;02-295;207;207;2C ;;Bn (C) 
208;02-295;208;208;D3C;;Bn (C) 
209;02-295;209;209;3C ;;Bn (C) 
210;02-295;210;210;3C ;;Bn (C) 
211;02-295;211;211;3C ;;Bn (C) 
212;02-295;212;212;3C ;;Bn (C) 
213;02-295;213;213;3C ;;Bn (C) 
214;02-295;214;214;2C ;;Bn (C) 
215;02-295;215;215;2C ;;Bn (C) 
216;02-295;216;216;D3C;;Bn (C) 
217;02-295;217;217;3C ;;Bn (C) 
218;02-295;218;218;3C ;;Bn (C) 
219;02-295;219;219;3C ;;Bn (C) 
220;02-295;220;220;3C ;;Bn (C) 
221;02-295;221;221;3C ;;Bn (C) 
222;02-295;222;222;2C ;;Bn (C) 
223;02-295;223;223;2C ;;Bn (C) 
224;02-295;224;224;D3C;;Bn (C) 
225;02-295;225;225;3C ;;Bn (C) 
226;02-295;226;226;3C ;;Bn (C) 
227;02-295;227;227;3C ;;Bn (C) 
228;02-295;228;228;3C ;;Bn (C) 
229;02-295;229;229;3C ;;Bn (C) 
230;02-295;230;230;2C ;;Bn (C) 
231;02-295;231;231;2C ;;Bn (C) 
232;02-295;232;232;D3C;;Bn (C) 
233;02-295;233;233;3C ;;Bn (C) 
234;02-295;234;234;3C ;;Bn (C) 
235;02-295;235;235;3C ;;Bn (C) 
236;02-295;236;236;3C ;;Bn (C) 
237;02-295;237;237;3C ;;Bn (C) 
238;02-295;238;238;2C ;;Bn (C) 
239;02-295;239;239;2C ;;Bn (C) 
240;02-295;240;240;D3C;;Bn (C) 
241;02-295;241;241;3C ;;Bn (C) 
242;02-295;242;242;3C ;;Bn (C) 
243;02-295;243;243;3C ;;Bn (C) 
244;02-295;244;244;3C ;;Bn (C) 
245;02-295;245;245;3C ;;Bn (C) 
246;02-295;246;246;2C ;;Bn (C) 
247;02-295;247;247;2C ;;Bn (C) 
248;02-295;248;248;D3C;;Bn (C) 
249;02-295;249;249;3C ;;Bn (C) 
250;02-295;250;250;3C ;;Bn (C) 
251;02-295;251;251;3C ;;Bn (C) 
252;02-295;252;252;3C ;;Bn (C) 
253;02-295;253;253;3C ;;Bn (C) 
254;02-295;254;254;2C ;;Bn (C) 
255;02-295;255;255;2C ;;Bn (C) 
256;02-295;256;256;D3C;;Bn (C) 
257;02-295;257;257;3C ;;Bn (C) 
258;02-295;258;258;3C ;;Bn (C) 
259;02-295;259;259;3C ;;Bn (C) 
260;02-295;260;260;3C ;;Bn (C) 
261;02-295;261;261;3C ;;Bn (C) 
262;02-295;262;262;2C ;;Bn (C) 
263;02-295;263;263;2C ;;Bn (C) 
264;02-295;264;264;D3C;;Bn (C) 
265;02-295;265;265;3C ;;Bn (C) 
266;02-295;266;266;3C ;;Bn (C) 
267;02-295;267;267;3C ;;Bn (C) 
268;02-295;268;268;3C ;;Bn (C) 
269;02-295;269;269;3C ;;Bn (C) 
270;02-295;270;270;2C ;;Bn (C) 
271;02-295;271;271;2C ;;Bn (C) 
272;02-295;272;272;D3C;;Bn (C) 
273;02-295;273;273;3C ;;Bn (C) 
274;02-295;274;274;3C ;;Bn (C) 
275;02-295;275;275;3C ;;Bn (C) 
276;02-295;276;276;3C ;;Bn (C) 
277;02-295;277;277;3C ;;Bn (C) 
278;02-295;278;278;2C ;;Bn (C) 
279;02-295;279;279;2C ;;Bn (C) 
280;02-295;280;280;D3C;;Bn (C) 
281;02-295;281;281;3C ;;Bn (C) 
282;02-295;282;282;3C ;;Bn (C) 
283;02-295;283;283;3C ;;Bn (C) 
284;02-295;284;284;3C ;;Bn (C) 
285;02-295;285;285;3C ;;Bn (C) 
286;02-295;286;286;2C ;;Bn (C) 
287;02-295;287;287;2C ;;Bn (C) 
288;02-295;288;288;D3C;;Bn (C) 
289;02-295;289;289;3C ;;Bn (C) 
290;02-295;290;290;3C ;;Bn (C) 
291;02-295;291;291;3C ;;Bn (C) 
292;02-295;292;292;3C ;;Bn (C) 
293;02-295;293;293;3C ;;Bn (C) 
294;02-295;294;294;2C ;;Bn (C) 
295;02-295;295;295;2C ;;Bn (C) 
296;02-295;296;296;D3C;;Bn (C) 
297;02-295;297;297;3C ;;Bn (C) 
298;02-295;298;298;3C ;;Bn (C) 
299;02-295;299;299;3C ;;Bn (C) 
300;02-295;300;300;3C ;;Bn (C) 
301;02-295;301;301;3C ;;Bn (C) 
302;02-295;302;302;2C ;;Bn (C) 
303;02-295;303;303;2C ;;Bn (C) 
304;02-295;304;304;D3C;;Bn (C) 
305;02-295;305;305;3C ;;Bn (C) 
306;02-295;306;306;3C ;;Bn (C) 
307;02-295;307;307;3C ;;Bn (C) 
308;02-295;308;308;3C ;;Bn (C) 
309;02-295;309;309;3C ;;Bn (C) 
310;02-295;310;310;2C ;;Bn (C) 
311;02-295;311;311;2C ;;Bn (C) 
312;02-295;312;312;D3C;;Bn (C) 
313;02-295;313;313;3C ;;Bn (C) 
314;02-295;314;314;3C ;;Bn (C) 
315;02-295;315;315;3C ;;Bn (C) 
316;02-295;316;316;3C ;;Bn (C) 
317;02-295;317;317;3C ;;Bn (C) 
318;02-295;318;318;2C ;;Bn (C) 
319;02-295;319;319;2C ;;Bn (C) 
320;02-295;320;320;D3C;;Bn (C) 
321;02-295;321;321;3C ;;Bn (C) 
322;02-295;322;322;3C ;;Bn (C) 
323;02-295;323;323;3C ;;Bn (C) 
324;02-295;324;324;3C ;;Bn (C) 
325;02-295;325;325;3C ;;Bn (C) 
326;02-295;326;326;2C ;;Bn (C) 
327;02-295;327;327;2C ;;Bn (C) 
328;02-295;328;328;D3C;;Bn (C) 
329;02-295;329;329;3C ;;Bn (C) 
330;02-295;330;330;3C ;;Bn (C) 
331;02-295;331;331;3C ;;Bn (C) 
332;02-295;332;332;3C ;;Bn (C) 
333;02-295;333;333;3C ;;Bn (C) 
334;02-295;334;334;2C ;;Bn (C) 
335;02-295;335;335;2C ;;Bn (C) 
336;02-295;336;336;D3C;;Bn (C) 
337;02-295;337;337;3C ;;Bn (C) 
338;02-295;338;338;3C ;;Bn (C) 
339;02-295;339;339;3C ;;Bn (C) 
340;02-295;340;340;3C ;;Bn (C) 
341;02-295;341;341;3C ;;Bn (C) 
342;02-295;342;342;2C ;;Bn (C) 
343;02-295;343;343;2C ;;Bn (C) 
344;02-295;344;344;D3C;;Bn (C) 
345;02-295;345;345;3C ;;Bn (C) 
346;02-295;346;346;3C ;;Bn (C) 
347;02-295;347;347;3C ;;Bn (C) 
348;02-295;348;348;3C ;;Bn (C) 
349;02-295;349;349;3C ;;Bn (C) 
350;02-295;350;350;2C ;;Bn (C) 
351;02-295;351;351;2C ;;Bn (C) 
352;02-295;352;352;D3C;;Bn (C) 
353;02-295;353;353;3C ;;Bn (C) 
354;02-295;354;354;3C ;;Bn (C) 
355;02-295;355;355;3C ;;Bn (C) 
356;02-295;356;356;3C ;;Bn (C) 
357;02-295;357;357;3C ;;Bn (C) 
358;02-295;358;358;2C ;;Bn (C) 
359;02-295;359;359;2C ;;Bn (C) 
360;02-295;360;360;D3C;;Bn (C) 
361;02-295;361;361;3C ;;Bn (C) 
362;02-295;362;362;3C ;;Bn (C) 
363;02-295;363;363;3C ;;Bn (C) 
364;02-295;364;364;3C ;;Bn (C) 
365;02-295;365;365;3C ;;Bn (C) 
366;02-295;366;366;2C ;;Bn (C) 
367;02-295;367;367;2C ;;Bn (C) 
368;02-295;368;368;D3C;;Bn (C) 
369;02-295;369;369;3C ;;Bn (C) 
370;02-295;370;370;3C ;;Bn (C) 
371;02-295;371;371;3C ;;Bn (C) 
372;02-295;372;372;3C ;;Bn (C) 
373;02-295;373;373;3C ;;Bn (C) 
374;02-295;374;374;2C ;;Bn (C) 
375;02-295;375;375;2C ;;Bn (C) 
376;02-295;376;376;D3C;;Bn (C) 
377;02-295;377;377;3C ;;Bn (C) 
378;02-295;378;378;3C ;;Bn (C) 
379;02-295;379;379;3C ;;Bn (C) 
380;02-295;380;380;3C ;;Bn (C) 
381;02-295;381;381;3C ;;Bn (C) 
382;02-295;382;382;2C ;;Bn (C) 
383;02-295;383;383;2C ;;Bn (C) 
384;02-295;384;384;D3C;;Bn (C) 
385;02-295;385;385;3C ;;Bn (C) 
386;02-295;386;386;3C ;;Bn (C) 
387;02-295;387;387;3C ;;Bn (C) 
388;02-295;388;388;3C ;;Bn (C) 
389;02-295;389;389;3C ;;Bn (C) 
390;02-295;390;390;2C ;;Bn (C) 
391;02-295;391;391;2C ;;Bn (C) 
392;02-295;392;392;D3C;;Bn (C) 
393;02-295;393;393;3C ;;Bn (C) 
394;02-295;394;394;3C ;;Bn (C) 
395;02-295;395;395;3C ;;Bn (C) 
396;02-295;396;396;3C ;;Bn (C) 
397;02-295;397;397;3C ;;Bn (C) 
398;02-295;398;398;2C ;;Bn (C) 
399;02-295;399;399;2C ;;Bn (C) 
400;02-295;400;400;D3C;;Bn (C) 
401;02-295;401;401;3C ;;Bn (C) 
402;02-295;402;402;3C ;;Bn (C) 
403;02-295;403;403;3C ;;Bn (C) 
404;02-295;404;404;3C ;;Bn (C) 
405;02-295;405;405;3C ;;Bn (C) 
406;02-295;406;406;2C ;;Bn (C) 
407;02-295;407;407;2C ;;Bn (C) 
408;02-295;408;408;D3C;;Bn (C) 
409;02-295;409;409;3C ;;Bn (C) 
410;02-295;410;410;3C ;;Bn (C) 
411;02-295;411;411;3C ;;Bn (C) 
412;02-295;412;412;3C ;;Bn (C) 
413;02-295;413;413;3C ;;Bn (C) 
414;02-295;414;414;2C ;;Bn (C) 
415;02-295;415;415;2C ;;Bn (C) 
416;02-295;416;416;D3C;;Bn (C) 
417;02-295;417;417;3C ;;Bn (C) 
418;02-295;418;418;3C ;;Bn (C) 
419;02-295;419;419;3C ;;Bn (C) 
420;02-295;420;420;3C ;;Bn (C) 
421;02-295;421;421;3C ;;Bn (C) 
422;02-295;422;422;2C ;;Bn (C) 
423;02-295;423;423;2C ;;Bn (C) 
424;02-295;424;424;D3C;;Bn (C) 
425;02-295;425;425;3C ;;Bn (C) 
426;02-295;426;426;3C ;;Bn (C) 
427;02-295;427;427;3C ;;Bn (C) 
428;02-295;428;428;3C ;;Bn (C) 
429;02-295;429;429;3C ;;Bn (C) 
430;02-295;430;430;2C ;;Bn (C) 
431;02-295;431;431;2C ;;Bn (C) 
432;02-295;432;432;D3C;;Bn (C) 
433;02-295;433;433;3C ;;Bn (C) 
434;02-295;434;434;3C ;;Bn (C) 
435;02-295;435;435;3C ;;Bn (C) 
436;02-295;436;436;3C ;;Bn (C) 
437;02-295;437;437;3C ;;Bn (C) 
438;02-295;438;438;2C ;;Bn (C) 
439;02-295;439;439;2C ;;Bn (C) 
440;02-295;440;440;D3C;;Bn (C) 
441;02-295;441;441;3C ;;Bn (C) 
442;02-295;442;442;3C ;;Bn (C) 
443;02-295;443;443;3C ;;Bn (C) 
444;02-295;444;444;3C ;;Bn (C) 
445;02-295;445;445;3C ;;Bn (C) 
446;02-295;446;446;2C ;;Bn (C) 
447;02-295;447;447;2C ;;Bn (C) 
448;02-295;448;448;D3C;;Bn (C) 
449;02-295;449;449;3C ;;Bn (C) 
450;02-295;450;450;3C ;;Bn (C) 
451;02-295;451;451;3C ;;Bn (C) 
452;02-295;452;452;3C ;;Bn (C) 
453;02-295;453;453;3C ;;Bn (C) 
454;02-295;454;454;2C ;;Bn (C) 
455;02-295;455;455;2C ;;Bn (C) 
456;02-295;456;456;D3C;;Bn (C) 
457;02-295;457;457;3C ;;Bn (C) 
458;02-295;458;458;3C ;;Bn (C) 
459;02-295;459;459;3C ;;Bn (C) 
460;02-295;460;460;3C ;;Bn (C) 
461;02-295;461;461;3C ;;Bn (C) 
462;02-295;462;462;2C ;;Bn (C) 
463;02-295;463;463;2C ;;Bn (C) 
464;02-295;464;464;D3C;;Bn (C) 
465;02-295;465;465;3C ;;Bn (C) 
466;02-295;466;466;3C ;;Bn (C) 
467;02-295;467;467;3C ;;Bn (C) 
468;02-295;468;468;3C ;;Bn (C) 
469;02-295;469;469;3C ;;Bn (C) 
470;02-295;470;470;2C ;;Bn (C) 
471;02-295;471;471;2C ;;Bn (C) 
472;02-295;472;472;D3C;;Bn (C) 
473;02-295;473;473;3C ;;Bn (C) 
474;02-295;474;474;3C ;;Bn (C) 
475;02-295;475;475;3C ;;Bn (C) 
476;02-295;476;476;3C ;;Bn (C) 
477;02-295;477;477;3C ;;Bn (C) 
478;02-295;478;478;2C ;;Bn (C) 
479;02-295;479;479;2C ;;Bn (C) 
480;02-295;480;480;D3C;;Bn (C) 
481;02-295;481;481;3C ;;Bn (C) 
482;02-295;482;482;3C ;;Bn (C) 
483;02-295;483;483;3C ;;Bn (C) 
484;02-295;484;484;3C ;;Bn (C) 
485;02-295;485;485;3C ;;Bn (C) 
486;02-295;486;486;2C ;;Bn (C) 
487;02-295;487;487;2C ;;Bn (C) 
488;02-295;488;488;D3C;;Bn (C) 
489;02-295;489;489;3C ;;Bn (C) 
490;02-295;490;490;3C ;;Bn (C) 
491;02-295;491;491;3C ;;Bn (C) 
492;02-295;492;492;3C ;;Bn (C) 
493;02-295;493;493;3C ;;Bn (C) 
494;02-295;494;494;2C ;;Bn (C) 
495;02-295;495;495;2C ;;Bn (C) 
496;02-295;496;496;D3C;;Bn (C) 
497;02-295;497;497;3C ;;Bn (C) 
498;02-295;498;498;3C ;;Bn (C) 
499;02-295;499;499;3C ;;Bn (C) 
500;02-295;500;500;3C ;;Bn (C) 
